Senior	Engineer	Junior	Principal	Software	Salary
d	d	d	d	d	c
					class
0	1	1	0	1	89000
0	1	0	0	1	119000
1	1	0	0	1	203000
0	1	0	0	1	117000
0	1	0	0	1	107000
0	1	0	1	1	286000
0	1	1	0	1	84000
0	1	0	0	1	102000
0	1	0	0	1	105000
0	1	1	0	1	94000
0	1	1	0	1	93000
0	1	1	0	1	86000
0	1	0	1	1	305000
0	1	0	1	1	222000
0	1	0	0	1	105000
0	1	1	0	1	83000
0	1	0	1	1	246000
0	1	1	0	1	94000
1	1	0	0	1	209000
1	1	0	0	1	168000
0	1	0	1	1	320000
1	1	0	0	1	194000
1	1	0	0	1	171000
0	1	1	0	1	82000
0	1	0	0	1	101000
1	1	0	0	1	174000
1	1	0	0	1	185000
1	1	0	0	1	179000
1	1	0	0	1	168000
0	1	1	0	1	86000
0	1	0	0	1	108000
0	1	0	0	1	115000
0	1	1	0	1	82000
0	1	1	0	1	100000
1	1	0	0	1	178000
0	1	1	0	1	93000
0	1	0	1	1	291000
0	1	0	1	1	284000
1	1	0	0	1	156000
0	1	1	0	1	91000
1	1	0	0	1	167000
0	1	0	1	1	228000
0	1	1	0	1	83000
0	1	0	1	1	276000
0	1	0	0	1	107000
0	1	0	0	1	114000
0	1	0	0	1	108000
0	1	0	1	1	223000
0	1	1	0	1	87000
0	1	0	1	1	282000
0	1	0	1	1	251000
1	1	0	0	1	167000
1	1	0	0	1	154000
0	1	0	1	1	290000
0	1	0	1	1	283000
0	1	1	0	1	83000
0	1	0	0	1	101000
0	1	0	0	1	118000
0	1	0	0	1	108000
0	1	0	1	1	246000
0	1	0	1	1	295000
0	1	0	0	1	107000
0	1	0	0	1	102000
0	1	0	1	1	226000
0	1	1	0	1	89000
1	1	0	0	1	204000
0	1	1	0	1	86000
0	1	0	0	1	100000
0	1	0	0	1	115000
0	1	0	1	1	294000
0	1	0	0	1	108000
0	1	0	0	1	115000
1	1	0	0	1	219000
0	1	0	1	1	273000
0	1	1	0	1	86000
0	1	0	1	1	227000
0	1	0	1	1	294000
0	1	0	1	1	249000
1	1	0	0	1	207000
1	1	0	0	1	143000
0	1	0	0	1	109000
0	1	1	0	1	94000
0	1	0	0	1	120000
0	1	1	0	1	99000
0	1	1	0	1	89000
1	1	0	0	1	207000
1	1	0	0	1	145000
0	1	0	0	1	106000
1	1	0	0	1	153000
1	1	0	0	1	206000
0	1	0	0	1	110000
0	1	0	1	1	310000
0	1	0	0	1	101000
0	1	0	1	1	298000
0	1	1	0	1	85000
0	1	1	0	1	85000
1	1	0	0	1	149000
0	1	0	1	1	277000
1	1	0	0	1	170000
0	1	0	1	1	290000
0	1	1	0	1	96000
0	1	0	1	1	246000
1	1	0	0	1	196000
0	1	0	0	1	107000
0	1	0	0	1	113000
0	1	0	1	1	289000
0	1	1	0	1	98000
0	1	0	0	1	106000
0	1	0	0	1	102000
0	1	0	1	1	239000
1	1	0	0	1	159000
0	1	0	0	1	110000
0	1	0	1	1	303000
0	1	1	0	1	90000
1	1	0	0	1	148000
1	1	0	0	1	163000
0	1	0	1	1	225000
1	1	0	0	1	195000
0	1	0	0	1	105000
0	1	0	1	1	271000
0	1	1	0	1	98000
0	1	0	1	1	250000
0	1	1	0	1	83000
1	1	0	0	1	202000
0	1	0	0	1	112000
0	1	0	1	1	266000
1	1	0	0	1	156000
0	1	1	0	1	86000
0	1	0	1	1	258000
0	1	1	0	1	91000
1	1	0	0	1	156000
0	1	0	1	1	229000
0	1	0	0	1	106000
0	1	1	0	1	83000
0	1	1	0	1	87000
0	1	0	1	1	289000
0	1	0	1	1	298000
1	1	0	0	1	184000
0	1	0	0	1	103000
1	1	0	0	1	204000
0	1	1	0	1	84000
0	1	0	0	1	100000
0	1	0	1	1	261000
0	1	0	0	1	119000
0	1	0	1	1	295000
1	1	0	0	1	158000
1	1	0	0	1	214000
1	1	0	0	1	190000
0	1	0	0	1	100000
0	1	0	0	1	110000
0	1	1	0	1	97000
0	1	1	0	1	89000
0	1	1	0	1	93000
1	1	0	0	1	216000
1	1	0	0	1	211000
0	1	0	1	1	245000
0	1	1	0	1	91000
1	1	0	0	1	191000
0	1	1	0	1	87000
0	1	0	0	1	105000
0	1	0	0	1	119000
0	1	0	1	1	246000
1	1	0	0	1	201000
0	1	0	0	1	112000
0	1	1	0	1	90000
0	1	0	1	1	288000
0	1	0	0	1	104000
0	1	1	0	1	85000
0	1	0	0	1	109000
1	1	0	0	1	200000
0	1	1	0	1	91000
0	1	0	0	1	112000
0	1	0	0	1	116000
0	1	0	0	1	110000
0	1	0	0	1	114000
1	1	0	0	1	166000
1	1	0	0	1	173000
0	1	1	0	1	96000
1	1	0	0	1	166000
0	1	0	0	1	109000
0	1	0	0	1	103000
0	1	1	0	1	92000
0	1	0	1	1	254000
0	1	1	0	1	95000
0	1	0	1	1	258000
0	1	0	0	1	105000
1	1	0	0	1	216000
1	1	0	0	1	149000
0	1	0	1	1	271000
0	1	0	1	1	297000
0	1	0	1	1	301000
0	1	0	1	1	270000
0	1	1	0	1	98000
0	1	1	0	1	88000
0	1	0	0	1	115000
0	1	0	0	1	113000
0	1	0	0	1	116000
0	1	1	0	1	93000
1	1	0	0	1	181000
0	1	0	1	1	284000
1	1	0	0	1	205000
1	1	0	0	1	214000
0	1	0	0	1	108000
0	1	1	0	1	85000
0	1	1	0	1	80000
0	1	0	0	1	114000
0	1	0	0	1	102000
0	1	1	0	1	99000
0	1	0	0	1	106000
0	1	0	1	1	251000
0	1	1	0	1	99000
0	1	0	0	1	106000
0	1	1	0	1	94000
0	1	1	0	1	92000
0	1	1	0	1	90000
0	1	0	0	1	104000
0	1	1	0	1	89000
0	1	0	1	1	307000
0	1	1	0	1	96000
0	1	0	1	1	252000
0	1	1	0	1	97000
0	1	1	0	1	82000
1	1	0	0	1	169000
0	1	1	0	1	85000
0	1	1	0	1	86000
